                       Manchete                       Valência (%)
Chefe do Bradesco vê reação mais forte do Brasil em 2018.    50.00
Demoratas vão boicotar a posse de Donald Trump.              28.33
Anvisa aprova o 1º medicamento à base de maconha.            88.04
62 municípios decretam calamidade em busca de recursos.      92.66
Aeronáutica quer privatizar controle do tráfego aéreo.       50.00
Executivos estão confiantes, mas não pretendem contratar.    90.38
Minas investiga 47 mortes por febre amarela.                 10.14
Candidatos na Câmara apoiam lei de abuso.                     6.90
STF interpela Maia sobre reeleição.                          50.00
UE e Otan reagem a ataques de Trump.                         50.00
Anvisa libera remédio derivado da maconha.                   23.70
Governo deve retomar agenda para aviação.                    96.77
Crédito rural passa por “apertos”.                            6.38
Delações trazem mapa das contrapartidas a doações.           50.00
Legislativo criou balcão de venda de Mps.                    15.74
Depoimentos aumentam cisão no PT.                            80.00
Odebrecht ameaçou Dilma por proteção.                        23.53
Moro deve julgar Temer após mandato.                         90.50
Investigados no STF podem ter penas de até 22 anos.          50.00
"Padrinhos" da Odebrecht evitavam conflitos.                 84.44
Erdogan vence sob contestação.                                2.93
Ataque suicida matou 80 crianças.                             5.15
Área do Planetário vai a leilão amanhã.                      50.00
Prefeitura quer verticalizar favela.                         27.39
Plebiscito dá superpoder ao presidente da Turquia.           50.00
Repasse ilícito da Odebrecht se manteve mesmo com Lava-Jat   94.32
OAB pressiona STF a convocar juízes auxiliares para aceler   50.00
Elmar Nascimento: Rezo todos os dias para não ter que cass   50.00
Embaixada do Brasil cria plano de fuga da Coreia.            88.01
Idade mínima da aposentadoria deve subir a cada 2 anos.      50.00
Nelson Barbosa: Corte de gastas ameaça retomada da economi   50.00
Embaixada do Brasil cria plano de fuga da Coreia.            88.01
Maioria dos inquéritos abertos pelo Supremo investigará "a   50.00
O eleitor paga a conta da propina.                           74.68
Turquia aprova mais poderes para Erdogan em referendo.       88.27
Vice dos EUA vai a Seul tratar de crise.                     50.00
PF indicia 63 suspeitos na Operação Carne Fraca.             50.00
Novatos reeditam polarização na Câmara                        9.09
Reforma mantém privilégio de setores na Previdência.         50.00
"Efeito Uber" tira clientes de valet e estacionamentos.       3.73
Exportação de veículos tem impulso frágil.                   13.28
Permuta entre Shell e Cosan na Comgás.                       50.00
Novo impasse divide Oi, credores e Anatel.                   96.71
China retalia países que pressionam por abertura.            50.00
Royalties da mineração vão aumentar.                         71.69
Chineses planejam investir R$ 32 bi no Rio.                  50.00
Supremo homologa delação da Odebrecht, mas mantém sigilo.    75.93
Contas inativas do FGTS devem injetar R$ 41 bi na economia   50.00
Trump demite secretária que questionou veto.                  7.97
Contas do govertno têm maior rombo da história.              50.00
Doria congela R$ 2,6 bi de Saúde e Educação.                 50.00
Febre amarela: país tem 120 casos e investiga 623.           50.00
Pacote de Temer tenta agradar a trabalhadores e empresário   94.82
Presidente afirma que não pensa em renunciar ao cargo.       78.53
